gl_journal_line_id,gl_journal_header_id,line_num,status,line_type,description,code_combination_id,total_dr,total_cr,total_ac_dr,total_ac_cr,reference_type,reference_key_name,reference_key_value,ef_id
,3,1,U,,,501-502-0000-401000-3000-501,326000,,326000,,,,,
,3,2,U,,,501-502-0000-401100-3103-501,10000,,10000,,,,,
,3,3,U,,,501-502-0000-401100-3102-501,20000,,20000,,,,,
,3,4,U,,,501-502-0000-401100-3200-501,10000,,10000,,,,,
,3,5,U,,,501-502-0000-401100-3100-501,120000,,120000,,,,,
,3,6,U,,,501-502-0000-401100-3000-501,300000,,300000,,,,,
,3,7,U,,,501-502-0000-401100-2000-501,20000,,20000,,,,,
,3,8,U,,,501-502-0000-500000-3000-501,,61000,,61000,,,,
,3,9,U,,,501-502-0000-500010-3000-501,,40000,,40000,,,,
,3,10,U,,,501-502-0000-502000-3100-501,,10000,,10000,,,,
,3,11,U,,,501-502-0000-510000-3100-501,,5000,,5000,,,,
,3,12,U,,,501-502-9000-517000-3100-501,,2000,,2000,,,,
,3,13,U,,,501-502-9000-518000-3100-501,,10000,,10000,,,,
,3,14,U,,,501-502-9000-520000-3100-501,,5000,,5000,,,,
,3,15,U,,,501-502-9000-521000-3100-501,,8000,,8000,,,,
,3,16,U,,,501-502-9000-522000-3100-501,,8000,,8000,,,,
,3,17,U,,,501-502-9000-523000-3100-501,,9000,,9000,,,,
,3,18,U,,,501-502-9000-524000-3100-501,,10000,,10000,,,,
,3,19,U,,,501-502-9000-530000-3100-501,,11000,,11000,,,,
,3,20,U,,,501-502-9000-531000-3100-501,,12000,,12000,,,,
,3,21,U,,,501-502-9000-532000-3100-501,,12000,,12000,,,,
,3,22,U,,,501-502-9000-533000-3100-501,,13000,,13000,,,,
,3,23,U,,,501-502-9000-545000-3100-501,,14000,,14000,,,,
,3,24,U,,,501-502-9000-600000-3100-501,,15000,,15000,,,,
,3,25,U,,,501-502-0000-600020-3100-501,,16000,,16000,,,,
,3,26,U,,,501-502-9000-610000-3100-501,,16000,,16000,,,,
,3,27,U,,,501-502-9000-611000-3100-501,,17000,,17000,,,,
,3,28,U,,,501-502-9000-612000-3100-501,,18000,,18000,,,,
,3,29,U,,,501-502-9000-613000-3100-501,,19000,,19000,,,,
,3,30,U,,,501-502-9000-615000-3100-501,,20000,,20000,,,,
,3,31,U,,,501-502-9000-621000-3100-501,,20000,,20000,,,,
,3,32,U,,,501-502-9000-629200-3100-501,,21000,,21000,,,,
,3,33,U,,,501-502-9000-629300-3100-501,,22000,,22000,,,,
,3,34,U,,,501-502-9000-630000-3100-501,,23000,,23000,,,,
,3,35,U,,,501-502-9000-631000-3100-501,,24000,,24000,,,,
,3,36,U,,,501-502-9000-640000-3100-501,,24000,,24000,,,,
,3,37,U,,,501-502-9000-650000-3100-501,,25000,,25000,,,,
,3,38,U,,,501-502-9000-660000-3100-501,,26000,,26000,,,,
,3,39,U,,,501-502-9000-661000-3100-501,,27000,,27000,,,,
,3,40,U,,,501-502-9000-670000-3100-501,,28000,,28000,,,,
,3,41,U,,,501-502-9000-671000-3100-501,,28000,,28000,,,,
,3,42,U,,,501-502-9000-680000-3100-501,,29000,,29000,,,,
,3,43,U,,,501-502-9000-681000-3100-501,,30000,,30000,,,,
,3,44,U,,,501-502-9000-682000-3100-501,,31000,,31000,,,,
,3,45,U,,,501-502-9000-690000-3100-501,,32000,,32000,,,,
,3,46,U,,,501-502-9000-701000-3100-501,,32000,,32000,,,,
,3,47,U,,,501-502-9000-702000-3100-501,,33000,,33000,,,,
